Country,GDP per capita (USD),Life satisfaction
Chile,24967.5802124165,6.5
Russia,27210.5459977867,5.8
Turkey,28199.0515906708,5.5
Greece,29723.2219580446,5.4
Latvia,30858.750074744,5.9
Hungary,32553.5236997988,5.6
Poland,33120.517844588,6.1
Portugal,34879.7059746537,5.4
Estonia,36830.0747898819,5.7
Lithuania,37062.5867515036,5.9
Slovenia,38905.5478569196,5.9
Israel,40007.3191584114,7.2
Spain,40805.9169678996,6.3
Japan,41380.0935773113,5.9
Italy,42662.5223699096,6.0
New Zealand,42877.9429107086,7.3
France,45834.1669122703,6.5
United Kingdom,46406.4617483484,6.8
Finland,48689.2341509211,7.6
Canada,49006.7431073981,7.4
Australia,49455.5385080697,7.3
Belgium,51742.7263830791,6.9
Sweden,52531.1743768398,7.3
Germany,53639.26072156,7.0
Austria,55833.3156857561,7.1
Netherlands,56629.110793233,7.4
Iceland,56913.9568467085,7.5
Denmark,57678.0988930692,7.6
United States,62630.8732765742,6.9
